desc_apertura;desc_prog;desc_inc;desc_prin;cred_ini;cred_vig;cred_comp;cred_pag;cred_dev;cred_disp
"Construcción Circuito Promoción Turística Sostenible para el Fomento del Patrimonio Natural, la Diversidad y la Herencia Cultural - Tramo I - Provincia de Chaco (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;0;0;0;0;0;0
"Construcción Circuito Promoción Turística Sostenible para el Fomento del Patrimonio Natural, la Diversidad y la Herencia Cultural - Tramo I - Provincia de Chaco (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;12.077.560;12.077.560;0;0;0;0
"Construcción Circuito Promoción Turística Sostenible para el Fomento del Patrimonio Natural, la Diversidad y la Herencia Cultural - Tramo I - Provincia de Chaco (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;0;455.450;0;0;0;455.450
"Construcción Circuito Promoción Turística Sostenible para el Fomento del Patrimonio Natural, la Diversidad y la Herencia Cultural - Tramo I - Provincia de Chaco (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-12.077.560;0;0;0;0
"Construcción Museo Regional Cueva de las Manos Perito Moreno, Provincia de Santa Cruz (BID N° 2606/OC - AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;4.800.219;4.800.219;0;0;0;0
"Construcción Museo Regional Cueva de las Manos Perito Moreno, Provincia de Santa Cruz (BID N° 2606/OC - AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-4.800.219;0;0;0;0
"Construcción Museo Regional Cueva de las Manos Perito Moreno, Provincia de Santa Cruz (BID N° 2606/OC - AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;2.202.142;2.202.142;2.202.142;0;0;0
"Construcción Pasarela en Agua, Plaza Mirador y Pasarela de Acceso, Parque Provincial Moconá, Misiones (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;10.196;10.196;0;0;0;10.196
"Construcción Relleno Sanitario y Mejoramiento Basural a Cielo Abierto Parque Nacional Quebrada Condorito - Villa Carlos Paz, Córdoba - Etapa I (BID Nº 3249/OC-AR)";Gestión Integral de Residuos Sólidos Urbanos en Municipios Turísticos;Bienes de Uso;Construcciones;822.849;822.849;0;0;0;0
"Construcción Relleno Sanitario y Mejoramiento Basural a Cielo Abierto Parque Nacional Quebrada Condorito - Villa Carlos Paz, Córdoba - Etapa I (BID Nº 3249/OC-AR)";Gestión Integral de Residuos Sólidos Urbanos en Municipios Turísticos;Bienes de Uso;Construcciones;0;-822.849;0;0;0;0
Construcción de circuitos peatonales y miradores en las estaciones del PPI - Prov. De San Juan (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;36.000;36.000;0;0;0;36.000
Construcción de circuitos peatonales y miradores en las estaciones del PPI - Prov. De San Juan (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;3.075.053;3.075.053;0;0;0;0
Construcción de circuitos peatonales y miradores en las estaciones del PPI - Prov. De San Juan (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-3.075.053;0;0;0;0
Construcción de circuitos peatonales y miradores en las estaciones del PPI - Prov. De San Juan (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;1.050.121;1.050.121;0;0;0;0
Construcción de circuitos peatonales y miradores en las estaciones del PPI - Prov. De San Juan (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-1.050.121;0;0;0;0
"Construcción del Centro de Informes e Interpretación, Los Antiguos, Provincia de Santa Cruz (BID N° 2606/OC - AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;2.355.897;2.355.897;0;0;0;867.753
"Construcción del Centro de Informes e Interpretación, Los Antiguos, Provincia de Santa Cruz (BID N° 2606/OC - AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-1.488.144;0;0;0;0
"Construcción del Centro de Informes e Interpretación, Los Antiguos, Provincia de Santa Cruz (BID N° 2606/OC - AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;6.696.719;6.696.719;2.446.817;0;0;2
"Construcción del Centro de Informes e Interpretación, Los Antiguos, Provincia de Santa Cruz (BID N° 2606/OC - AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-4.249.900;0;0;0;0
Construcción Área de Servicios - Parque Municipal Llao Llao - San Carlos de Bariloche - Provincia de Río Negro (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;48.000;48.000;0;0;0;48.000
Construcción Área de Servicios - Parque Municipal Llao Llao - San Carlos de Bariloche - Provincia de Río Negro (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;27.400.306;27.400.306;0;0;0;27.400.306
Construcción Área de Servicios - Parque Municipal Llao Llao - San Carlos de Bariloche - Provincia de Río Negro (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;0;9.600.000;0;9.600.000;-9.600.000
Construcción Área de Servicios - Parque Municipal Llao Llao - San Carlos de Bariloche - Provincia de Río Negro (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;2.199.694;2.199.694;0;0;0;2.199.694
Construcción Área de Servicios - Parque Municipal Llao Llao - San Carlos de Bariloche - Provincia de Río Negro (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;39.666.017;0;0;0;39.666.017
Humahuaca: Museo del Carnaval-Provincia de Jujuy (BID 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;15.000.000;15.000.000;0;0;0;15.000.000
"Implementación Parque Jesuítico Guaraní Etapa B, San Ignacio Miní, Provincia de Misiones (BID N° 2606/OC - AR)";Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;552.104;552.104;0;0;0;552.104
Mejoramiento de la Costanera y Centro de Visitantes y Ferias de Artículos del Río Aluminé - Provincia de Neuquén (BID N° 2606/OC - AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;48.000;48.000;0;0;0;48.000
Mejoramiento de la Costanera y Centro de Visitantes y Ferias de Artículos del Río Aluminé - Provincia de Neuquén (BID N° 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;29.612.580;29.612.580;0;0;0;29.612.580
Mejoramiento de la Costanera y Centro de Visitantes y Ferias de Artículos del Río Aluminé - Provincia de Neuquén (BID N° 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;27.088.728;0;0;0;27.088.728
Mejoramiento de la Costanera y Centro de Visitantes y Ferias de Artículos del Río Aluminé - Provincia de Neuquén (BID N° 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;4.304.807;4.304.807;4.304.807;0;0;0
"Puesta en Valor de la Iglesia de San Francisco, San Miguel de Tucumán, Provincia de Tucumán (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;2;2;0;0;0;2
"Puesta en Valor de las Iglesias Jesuíticas de La Caldera y San Carlos, Provincia de Salta (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;2;2;0;0;0;2
Puesta en Valor del Monumento a los Héroes de la Independencia - Humahuaca - Provincia de Jujuy (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;72.000;72.000;0;0;0;72.000
Puesta en Valor del Monumento a los Héroes de la Independencia - Humahuaca - Provincia de Jujuy (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;13.055.228;13.055.228;0;0;0;8.055.228
Puesta en Valor del Monumento a los Héroes de la Independencia - Humahuaca - Provincia de Jujuy (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-5.000.000;0;0;0;0
"Puesta en Valor del Municipio de Loreto, Provincia de Corrientes (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;1;1;0;0;0;1
"Puesta en Valor del Municipio de San Miguel, Provincia de Corrientes (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;1;1;0;0;0;1
Remodelación y Ampliación del Mirador del Paso Garibaldi- Provincia de Tierra del Fuego (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;1.516.442;1.516.442;0;0;0;1.315.742
Remodelación y Ampliación del Mirador del Paso Garibaldi- Provincia de Tierra del Fuego (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-200.700;0;0;0;0
Reordenamiento y Puesta en Valor del Sector de Ingreso al Parque Provincial Ischigualasto (BID N° 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;6.632.361;6.632.361;0;0;0;0
Reordenamiento y Puesta en Valor del Sector de Ingreso al Parque Provincial Ischigualasto (BID N° 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-6.632.361;0;0;0;0
Reordenamiento y Puesta en Valor del Sector de Ingreso al Parque Provincial Ischigualasto (BID N° 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;2.837.950;2.837.950;0;0;0;0
Reordenamiento y Puesta en Valor del Sector de Ingreso al Parque Provincial Ischigualasto (BID N° 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-2.837.950;0;0;0;0
Restauración Centro de Interpretación Iberá Salvaje - Carlos Pellegrini - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;14.400;14.400;0;0;0;14.400
Restauración Centro de Interpretación Iberá Salvaje - Carlos Pellegrini - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;31.198.306;31.198.306;0;0;0;4.835.061
Restauración Centro de Interpretación Iberá Salvaje - Carlos Pellegrini - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;0;1.144.205;1.144.205;1.144.205;-1.144.205
Restauración Centro de Interpretación Iberá Salvaje - Carlos Pellegrini - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-26.363.245;1.585.082;0;1.585.082;-1.585.082
Restauración Centro de Interpretación Iberá Salvaje - Carlos Pellegrini - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;8.174.943;8.174.943;2.689.721;0;0;222
Restauración Centro de Interpretación Iberá Salvaje - Carlos Pellegrini - Provincia de Corrientes (BID N° 2606/OC-AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-5.485.000;0;0;0;0
"Restauración Plan de Accesibilidad Universal para la Manzana Jesuítica y las Estancias, Provincia de Córdoba (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;23.311;23.311;0;0;0;23.311
"Restauración Plan de Accesibilidad Universal para la Manzana Jesuítica y las Estancias, Provincia de Córdoba (BID N° 2606/OC-AR)";Inversiones con Financiamiento Internacional;Servicios No Personales;Servicios Técnicos y Profesionales;1;1;0;0;0;1
"Saneamiento Basural a Cielo Abierto Existente, General Pueyrredón - Buenos Aires - GIRSU - (BID Nº 3249/OC-AR)";Gestión Integral de Residuos Sólidos Urbanos en Municipios Turísticos;Servicios No Personales;Servicios Técnicos y Profesionales;91.502;91.502;0;0;0;0
"Saneamiento Basural a Cielo Abierto Existente, General Pueyrredón - Buenos Aires - GIRSU - (BID Nº 3249/OC-AR)";Gestión Integral de Residuos Sólidos Urbanos en Municipios Turísticos;Servicios No Personales;Servicios Técnicos y Profesionales;0;-91.502;0;0;0;0
Saneamiento Basural en Villa Carlos Paz - Provincia de Córdoba (BID Nº 3249/OC-AR);Gestión Integral de Residuos Sólidos Urbanos en Municipios Turísticos;Servicios No Personales;Servicios Técnicos y Profesionales;185.266;185.266;0;0;0;0
Saneamiento Basural en Villa Carlos Paz - Provincia de Córdoba (BID Nº 3249/OC-AR);Gestión Integral de Residuos Sólidos Urbanos en Municipios Turísticos;Servicios No Personales;Servicios Técnicos y Profesionales;0;-185.266;0;0;0;0
Saneamiento Basural en Villa Carlos Paz - Provincia de Córdoba (BID Nº 3249/OC-AR);Gestión Integral de Residuos Sólidos Urbanos en Municipios Turísticos;Servicios No Personales;Servicios Técnicos y Profesionales;363.948;363.948;0;0;0;0
Saneamiento Basural en Villa Carlos Paz - Provincia de Córdoba (BID Nº 3249/OC-AR);Gestión Integral de Residuos Sólidos Urbanos en Municipios Turísticos;Servicios No Personales;Servicios Técnicos y Profesionales;0;-363.948;0;0;0;0
Señalamiento Corredor Los Lagos - Centros Turísticos del Corredor - Río Negro (BID Nº 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;37.486;37.486;0;0;0;0
Señalamiento Corredor Los Lagos - Centros Turísticos del Corredor - Río Negro (BID Nº 2606/OC - AR);Inversiones con Financiamiento Internacional;Bienes de Uso;Construcciones;0;-37.486;0;0;0;0
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal Permanente;35.721.229;35.721.229;3.556.161;3.511.423;3.511.423;32.165.068
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal Permanente;48.801.323;48.801.323;2.400.349;1.677.349;2.281.304;46.400.974
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal Permanente;7.043.547;7.043.547;35.197;35.197;35.197;7.008.350
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal Permanente;22.891.525;22.891.525;161.730;0;0;22.729.795
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal Permanente;6.316.303;6.316.303;850.993;0;0;5.465.310
Conducción Superior;Actividades Centrales;Gastos en Personal;Servicios Extraordinarios;16.464.309;16.464.309;1.087.946;1.087.946;1.087.946;15.376.363
Conducción Superior;Actividades Centrales;Gastos en Personal;Servicios Extraordinarios;1.372.026;1.372.026;0;0;0;1.372.026
Conducción Superior;Actividades Centrales;Gastos en Personal;Servicios Extraordinarios;4.280.720;4.280.720;0;0;0;4.280.720
Conducción Superior;Actividades Centrales;Gastos en Personal;Asistencia Social al Personal;4.825.435;4.825.435;0;0;0;4.825.435
Conducción Superior;Actividades Centrales;Gastos en Personal;Asistencia Social al Personal;486.892;486.892;16.894;16.894;16.894;469.998
Conducción Superior;Actividades Centrales;Gastos en Personal;Gabinete de autoridades superiores;4.623.546;4.623.546;1.500.106;1.500.106;1.500.106;3.123.440
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal contratado;27.211.772;27.211.772;2.305.270;2.305.270;2.305.270;24.906.502
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal contratado;6.276.726;6.276.726;952.482;684.868;952.482;5.324.244
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal contratado;2.790.708;2.790.708;17.590;0;17.590;2.773.118
Conducción Superior;Actividades Centrales;Gastos en Personal;Personal contratado;9.069.801;9.069.801;165.610;0;0;8.904.191
Conducción Superior;Actividades Centrales;Bienes de Consumo;"Productos Alimenticios, Agropecuarios y Forestales";200.000;200.000;100.832;16.420;16.420;99.168
Conducción Superior;Actividades Centrales;Bienes de Consumo;"Productos Alimenticios, Agropecuarios y Forestales";0;0;16.533;16.533;16.533;-16.533
Conducción Superior;Actividades Centrales;Bienes de Consumo;Textiles y Vestuario;100.329;100.329;0;0;0;100.329
Conducción Superior;Actividades Centrales;Bienes de Consumo;Textiles y Vestuario;150.000;150.000;0;0;0;150.000
Conducción Superior;Actividades Centrales;Bienes de Consumo;"Productos de Papel, Cartón e Impresos";150.000;150.000;0;0;0;150.000
Conducción Superior;Actividades Centrales;Bienes de Consumo;"Productos de Papel, Cartón e Impresos";150.000;150.000;0;0;0;150.000
Conducción Superior;Actividades Centrales;Bienes de Consumo;"Productos de Papel, Cartón e Impresos";50.000;50.000;1.162;1.162;1.162;48.838
Conducción Superior;Actividades Centrales;Bienes de Consumo;"Productos de Papel, Cartón e Impresos";200.000;200.000;110;110;110;199.890
Conducción Superior;Actividades Centrales;Bienes de Consumo;"Productos de Papel, Cartón e Impresos";1.300.000;1.300.000;0;0;0;1.300.000
Conducción Superior;Actividades Centrales;Bienes de Consumo;"Productos de Papel, Cartón e Impresos";3.000;3.000;0;0;0;3.000
